Date,MSFT5,Disney5,Nike5,Apple5,MSFT4,Disney4,Nike4,Apple4,MSFT3,Disney3,Nike3,Apple3,MSFT2,Disney2,Nike2,Apple2,MSFT1,Disney1,Nike1,Apple1,Close
2000-01-04,112.62,31.63,45.5,102.5,113.81,32.75,48.13,104.0,110.0,31.63,47.88,95.0,111.44,31.13,47.88,99.5,112.25,35.88,48.69,97.75,0.0
2000-01-05,113.81,32.75,48.13,104.0,110.0,31.63,47.88,95.0,111.44,31.13,47.88,99.5,112.25,35.88,48.69,97.75,109.37,36.25,51.13,92.75,0.0
2000-01-06,110.0,31.63,47.88,95.0,111.44,31.13,47.88,99.5,112.25,35.88,48.69,97.75,109.37,36.25,51.13,92.75,105.81,33.69,49.38,87.19,1.0
2000-01-07,111.44,31.13,47.88,99.5,112.25,35.88,48.69,97.75,109.37,36.25,51.13,92.75,105.81,33.69,49.38,87.19,107.81,34.81,50.0,96.75,1.0
2000-01-10,112.25,35.88,48.69,97.75,109.37,36.25,51.13,92.75,105.81,33.69,49.38,87.19,107.81,34.81,50.0,96.75,112.25,33.56,51.31,100.44,1.0
2000-01-11,109.37,36.25,51.13,92.75,105.81,33.69,49.38,87.19,107.81,34.81,50.0,96.75,112.25,33.56,51.31,100.44,115.31,34.5,50.63,103.94,0.0
2000-01-12,105.81,33.69,49.38,87.19,107.81,34.81,50.0,96.75,112.25,33.56,51.31,100.44,115.31,34.5,50.63,103.94,107.0,34.75,52.81,106.56,0.0
2000-01-13,107.81,34.81,50.0,96.75,112.25,33.56,51.31,100.44,115.31,34.5,50.63,103.94,107.0,34.75,52.81,106.56,106.0,33.63,51.56,113.5,0.0
2000-01-14,112.25,33.56,51.31,100.44,115.31,34.5,50.63,103.94,107.0,34.75,52.81,106.56,106.0,33.63,51.56,113.5,103.75,32.75,50.69,111.31,0.0
2000-01-18,115.31,34.5,50.63,103.94,107.0,34.75,52.81,106.56,106.0,33.63,51.56,113.5,103.75,32.75,50.69,111.31,101.25,33.31,49.69,106.25,1.0
2000-01-19,107.0,34.75,52.81,106.56,106.0,33.63,51.56,113.5,103.75,32.75,50.69,111.31,101.25,33.31,49.69,106.25,102.81,37.5,48.88,112.25,0.0
2000-01-20,106.0,33.63,51.56,113.5,103.75,32.75,50.69,111.31,101.25,33.31,49.69,106.25,102.81,37.5,48.88,112.25,99.37,36.63,49.5,110.19,0.0
2000-01-21,103.75,32.75,50.69,111.31,101.25,33.31,49.69,106.25,102.81,37.5,48.88,112.25,99.37,36.63,49.5,110.19,98.75,37.13,47.25,110.0,0.0
2000-01-24,101.25,33.31,49.69,106.25,102.81,37.5,48.88,112.25,99.37,36.63,49.5,110.19,98.75,37.13,47.25,110.0,98.25,36.75,46.88,101.62,0.0
2000-01-25,102.81,37.5,48.88,112.25,99.37,36.63,49.5,110.19,98.75,37.13,47.25,110.0,98.25,36.75,46.88,101.62,97.87,36.31,45.5,103.75,1.0
2000-01-26,99.37,36.63,49.5,110.19,98.75,37.13,47.25,110.0,98.25,36.75,46.88,101.62,97.87,36.31,45.5,103.75,102.94,36.0,46.69,100.25,0.0
2000-01-27,98.75,37.13,47.25,110.0,98.25,36.75,46.88,101.62,97.87,36.31,45.5,103.75,102.94,36.0,46.69,100.25,100.81,37.25,47.44,98.81,1.0
2000-01-28,98.25,36.75,46.88,101.62,97.87,36.31,45.5,103.75,102.94,36.0,46.69,100.25,100.81,37.25,47.44,98.81,103.62,37.88,47.88,103.31,1.0
2000-01-31,97.87,36.31,45.5,103.75,102.94,36.0,46.69,100.25,100.81,37.25,47.44,98.81,103.62,37.88,47.88,103.31,106.56,38.13,46.69,108.0,1.0
2000-02-01,102.94,36.0,46.69,100.25,100.81,37.25,47.44,98.81,103.62,37.88,47.88,103.31,106.56,38.13,46.69,108.0,106.62,38.0,45.25,114.06,1.0
2000-02-02,100.81,37.25,47.44,98.81,103.62,37.88,47.88,103.31,106.56,38.13,46.69,108.0,106.62,38.0,45.25,114.06,109.94,37.56,37.0,114.87,0.0
2000-02-03,103.62,37.88,47.88,103.31,106.56,38.13,46.69,108.0,106.62,38.0,45.25,114.06,109.94,37.56,37.0,114.87,104.0,37.69,33.75,112.62,1.0
2000-02-04,106.56,38.13,46.69,108.0,106.62,38.0,45.25,114.06,109.94,37.56,37.0,114.87,104.0,37.69,33.75,112.62,106.0,36.94,33.75,113.5,0.0
2000-02-07,106.62,38.0,45.25,114.06,109.94,37.56,37.0,114.87,104.0,37.69,33.75,112.62,106.0,36.94,33.75,113.5,99.94,37.88,34.0,108.75,0.0
2000-02-08,109.94,37.56,37.0,114.87,104.0,37.69,33.75,112.62,106.0,36.94,33.75,113.5,99.94,37.88,34.0,108.75,99.62,37.0,32.31,115.81,0.0
2000-02-09,104.0,37.69,33.75,112.62,106.0,36.94,33.75,113.5,99.94,37.88,34.0,108.75,99.62,37.0,32.31,115.81,98.56,36.88,30.44,119.0,0.0
2000-02-10,106.0,36.94,33.75,113.5,99.94,37.88,34.0,108.75,99.62,37.0,32.31,115.81,98.56,36.88,30.44,119.0,97.62,36.94,29.5,114.12,1.0
2000-02-11,99.94,37.88,34.0,108.75,99.62,37.0,32.31,115.81,98.56,36.88,30.44,119.0,97.62,36.94,29.5,114.12,99.62,36.5,29.0,114.87,0.0
2000-02-14,99.62,37.0,32.31,115.81,98.56,36.88,30.44,119.0,97.62,36.94,29.5,114.12,99.62,36.5,29.0,114.87,95.06,35.5,28.0,111.25,0.0
2000-02-15,98.56,36.88,30.44,119.0,97.62,36.94,29.5,114.12,99.62,36.5,29.0,114.87,95.06,35.5,28.0,111.25,93.81,33.38,27.0,113.81,1.0
2000-02-16,97.62,36.94,29.5,114.12,99.62,36.5,29.0,114.87,95.06,35.5,28.0,111.25,93.81,33.38,27.0,113.81,94.25,34.13,28.06,116.25,1.0
2000-02-17,99.62,36.5,29.0,114.87,95.06,35.5,28.0,111.25,93.81,33.38,27.0,113.81,94.25,34.13,28.06,116.25,94.75,33.19,27.06,115.2,0.0
2000-02-18,95.06,35.5,28.0,111.25,93.81,33.38,27.0,113.81,94.25,34.13,28.06,116.25,94.75,33.19,27.06,115.2,91.31,31.0,26.56,110.37,1.0
2000-02-22,93.81,33.38,27.0,113.81,94.25,34.13,28.06,116.25,94.75,33.19,27.06,115.2,91.31,31.0,26.56,110.37,91.56,32.75,27.88,113.25,0.0
2000-02-23,94.25,34.13,28.06,116.25,94.75,33.19,27.06,115.2,91.31,31.0,26.56,110.37,91.56,32.75,27.88,113.25,89.37,34.0,28.44,114.62,1.0
2000-02-24,94.75,33.19,27.06,115.2,91.31,31.0,26.56,110.37,91.56,32.75,27.88,113.25,89.37,34.0,28.44,114.62,90.81,34.69,28.13,130.31,1.0
2000-02-25,91.31,31.0,26.56,110.37,91.56,32.75,27.88,113.25,89.37,34.0,28.44,114.62,90.81,34.69,28.13,130.31,93.37,34.5,29.44,122.0,1.0
2000-02-28,91.56,32.75,27.88,113.25,89.37,34.0,28.44,114.62,90.81,34.69,28.13,130.31,93.37,34.5,29.44,122.0,96.12,36.5,29.38,128.0,0.0
2000-02-29,89.37,34.0,28.44,114.62,90.81,34.69,28.13,130.31,93.37,34.5,29.44,122.0,96.12,36.5,29.38,128.0,90.62,36.0,28.5,125.69,1.0
2000-03-01,90.81,34.69,28.13,130.31,93.37,34.5,29.44,122.0,96.12,36.5,29.38,128.0,90.62,36.0,28.5,125.69,92.87,36.0,27.88,122.87,1.0
2000-03-02,93.37,34.5,29.44,122.0,96.12,36.5,29.38,128.0,90.62,36.0,28.5,125.69,92.87,36.0,27.88,122.87,95.56,34.94,27.25,122.0,1.0
2000-03-03,96.12,36.5,29.38,128.0,90.62,36.0,28.5,125.69,92.87,36.0,27.88,122.87,95.56,34.94,27.25,122.0,100.0,36.25,26.75,122.25,1.0
2000-03-06,90.62,36.0,28.5,125.69,92.87,36.0,27.88,122.87,95.56,34.94,27.25,122.0,100.0,36.25,26.75,122.25,101.0,35.13,26.88,125.75,0.0
2000-03-07,92.87,36.0,27.88,122.87,95.56,34.94,27.25,122.0,100.0,36.25,26.75,122.25,101.0,35.13,26.88,125.75,98.0,34.94,28.75,121.31,0.0
2000-03-08,95.56,34.94,27.25,122.0,100.0,36.25,26.75,122.25,101.0,35.13,26.88,125.75,98.0,34.94,28.75,121.31,95.12,34.13,28.88,114.25,1.0
2000-03-09,100.0,36.25,26.75,122.25,101.0,35.13,26.88,125.75,98.0,34.94,28.75,121.31,95.12,34.13,28.88,114.25,95.37,34.81,33.0,116.25,0.0
2000-03-10,101.0,35.13,26.88,125.75,98.0,34.94,28.75,121.31,95.12,34.13,28.88,114.25,95.37,34.81,33.0,116.25,95.37,35.31,35.75,121.56,1.0
2000-03-13,98.0,34.94,28.75,121.31,95.12,34.13,28.88,114.25,95.37,34.81,33.0,116.25,95.37,35.31,35.75,121.56,99.37,36.81,34.0,125.0,0.0
