Date,EOD/MSFT - Close,EOD/DIS - Close,EOD/NKE - Close,EOD/AAPL - Close,Close
2000-01-04,-3.94,1.75,-2.62,-9.44,1.0
2000-01-05,1.19,1.12,2.63,1.5,0.0
2000-01-06,-3.81,-1.12,-0.25,-9.0,1.0
2000-01-07,1.44,-0.5,0.0,4.5,1.0
2000-01-10,0.81,4.75,0.81,-1.75,0.0
2000-01-11,-2.88,0.37,2.44,-5.0,0.0
2000-01-12,-3.56,-2.56,-1.75,-5.56,1.0
2000-01-13,2.0,1.12,0.62,9.56,1.0
2000-01-14,4.44,-1.25,1.31,3.69,1.0
2000-01-18,3.06,0.94,-0.68,3.5,0.0
2000-01-19,-8.31,0.25,2.18,2.62,0.0
2000-01-20,-1.0,-1.12,-1.25,6.94,0.0
2000-01-21,-2.25,-0.88,-0.87,-2.19,0.0
2000-01-24,-2.5,0.56,-1.0,-5.06,1.0
2000-01-25,1.56,4.19,-0.81,6.0,0.0
2000-01-26,-3.44,-0.87,0.62,-2.06,0.0
2000-01-27,-0.62,0.5,-2.25,-0.19,0.0
2000-01-28,-0.5,-0.38,-0.37,-8.38,0.0
2000-01-31,-0.38,-0.44,-1.38,2.13,1.0
2000-02-01,5.07,-0.31,1.19,-3.5,0.0
2000-02-02,-2.13,1.25,0.75,-1.44,1.0
2000-02-03,2.81,0.63,0.44,4.5,1.0
2000-02-04,2.94,0.25,-1.19,4.69,1.0
2000-02-07,0.060000000000002,-0.13,-1.44,6.06,1.0
2000-02-08,3.32,-0.44,-8.25,0.81,0.0
2000-02-09,-5.94,0.13,-3.25,-2.25,1.0
2000-02-10,2.0,-0.75,0.0,0.88,0.0
2000-02-11,-6.06,0.94,0.25,-4.75,0.0
2000-02-14,-0.31999999999998996,-0.88,-1.69,7.06,0.0
2000-02-15,-1.06,-0.12,-1.87,3.19,0.0
2000-02-16,-0.94,0.059999999999995,-0.94,-4.88,1.0
2000-02-17,2.0,-0.44,-0.5,0.75,0.0
2000-02-18,-4.56,-1.0,-1.0,-3.62,0.0
2000-02-22,-1.25,-2.12,-1.0,2.56,1.0
2000-02-23,0.44,0.75,1.06,2.44,1.0
2000-02-24,0.5,-0.94,-1.0,-1.05,0.0
2000-02-25,-3.44,-2.19,-0.5,-4.83,1.0
2000-02-28,0.25,1.75,1.32,2.88,0.0
2000-02-29,-2.19,1.25,0.56,1.37,1.0
2000-03-01,1.44,0.69,-0.31,15.69,1.0
2000-03-02,2.56,-0.19,1.31,-8.31,1.0
2000-03-03,2.75,2.0,-0.060000000000002,6.0,0.0
2000-03-06,-5.5,-0.5,-0.88,-2.31,1.0
2000-03-07,2.25,0.0,-0.62,-2.82,1.0
2000-03-08,2.69,-1.06,-0.63,-0.87,1.0
2000-03-09,4.44,1.31,-0.5,0.25,1.0
2000-03-10,1.0,-1.12,0.13,3.5,0.0
2000-03-13,-3.0,-0.19,1.87,-4.44,0.0
2000-03-14,-2.88,-0.81,0.13,-7.06,1.0
2000-03-15,0.25,0.68,4.12,2.0,0.0
2000-03-16,0.0,0.5,2.75,5.31,1.0
2000-03-17,4.0,1.5,-1.75,3.44,0.0
2000-03-20,-2.0,2.63,-1.0,-2.0,1.0
2000-03-21,5.38,-0.25,0.13,11.94,1.0
2000-03-22,0.5,1.31,0.62,9.25,1.0
2000-03-23,8.62,1.06,0.25,-2.88,0.0
2000-03-24,-0.18000000000001,-0.12,-0.12,-2.62,0.0
2000-03-27,-7.63,0.31,2.06,0.87,1.0
2000-03-28,0.25,-0.81,0.87,-0.43000000000001,1.0
2000-03-29,2.88,-0.13,2.19,-3.19,0.0
2000-03-30,-3.82,-0.56,-0.31,-10.19,1.0
2000-03-31,2.88,1.0,0.94,10.06,0.0
2000-04-03,-15.38,0.56,0.37,-2.5,0.0
2000-04-04,-2.31,-0.68,-1.06,-6.0,0.0
2000-04-05,-2.19,-1.13,0.25,3.07,0.0
2000-04-06,-0.37,0.44,2.37,-5.19,1.0
2000-04-07,3.06,0.56,1.38,6.56,0.0
2000-04-10,-3.0,0.31,0.060000000000002,-6.75,0.0
2000-04-11,-2.19,1.19,2.13,-5.56,0.0
2000-04-12,-4.5,-2.44,-0.69,-10.19,0.0
2000-04-13,-0.12,-0.81,-0.5,4.56,0.0
2000-04-14,-5.13,-0.37,-1.31,-1.94,1.0
2000-04-17,1.75,-0.13,-0.63,12.0,1.0
2000-04-18,4.69,0.75,0.38,3.0,0.0
2000-04-19,-1.87,1.44,1.68,-5.75,1.0
2000-04-20,0.25,1.31,-0.12,-2.25,0.0
2000-04-24,-12.32,-2.0,-0.75,1.63,1.0
2000-04-25,2.75,0.25,2.44,7.81,0.0
2000-04-26,-1.37,1.88,-1.75,-7.0,1.0
2000-04-27,1.81,-0.75,-0.57,5.44,0.0
2000-04-28,-0.060000000000002,2.0,0.13,-2.69,1.0
2000-05-01,3.69,-1.63,3.12,0.25,0.0
2000-05-02,-3.57,1.0,-1.31,-6.44,1.0
2000-05-03,0.69,-1.75,-2.87,-2.81,0.0
2000-05-04,-0.12,-1.56,0.37,-4.37,1.0
2000-05-05,0.6800000000000099,-0.13,0.0,2.43,0.0
2000-05-08,-1.31,1.0,0.31,-3.0,0.0
2000-05-09,-2.0,0.19,0.13,-4.68,0.0
2000-05-10,-1.62,0.31,-0.94,-6.13,1.0
2000-05-11,1.68,0.07,0.44,3.5,1.0
2000-05-12,0.94,-0.32,0.12,4.81,1.0
2000-05-15,0.56,0.0,1.32,-6.62,1.0
2000-05-16,0.13,1.38,0.059999999999995,4.69,0.0
2000-05-17,-1.81,0.060000000000002,-2.88,-4.32,0.0
2000-05-18,-1.5,-1.06,-0.56,-0.62,0.0
2000-05-19,-1.13,-0.13,-0.75,-6.75,0.0
2000-05-22,-0.87,-0.18,-0.37,-4.06,0.0
2000-05-23,-1.0,-0.57,1.68,-4.13,1.0
2000-05-24,2.37,-1.0,2.19,1.88,0.0
2000-05-25,-4.06,0.5,-0.12,-0.42,0.0
2000-05-26,-0.060000000000002,0.07,0.18,-0.89999999999999,1.0
2000-05-30,1.94,2.0,0.69,1.19,0.0
2000-05-31,-0.82,-0.07,-1.75,-3.56,1.0
2000-06-01,2.0,-0.060000000000002,0.75,5.12,1.0
2000-06-02,1.75,-1.31,1.0,3.44,1.0
2000-06-05,0.56,0.19,-0.060000000000002,-1.25,1.0
2000-06-06,2.75,0.25,-2.19,1.56,1.0
2000-06-07,0.88,-0.69,1.94,3.69,0.0
2000-06-08,-1.69,0.25,-1.0,-1.75,0.0
2000-06-09,0.0,1.12,-1.38,0.94,0.0
2000-06-12,-1.94,-0.85,-1.16,-4.56,1.0
2000-06-13,1.0,-0.52,-1.4,3.31,1.0
2000-06-14,2.63,0.56,0.56,-4.06,1.0
2000-06-15,1.87,1.25,-1.25,1.93,1.0
2000-06-16,0.19,-0.81,-1.06,-1.18,1.0
2000-06-19,1.13,0.75,-0.69,5.43,1.0
2000-06-20,1.25,-0.19,-0.87,4.63,1.0
2000-06-21,5.75,0.0,-0.13,-45.62,0.0
2000-06-22,-0.8199999999999901,-0.25,-0.37,-1.88,0.0
2000-06-23,-2.18,-1.87,1.87,-2.06,1.0
2000-06-26,1.81,0.87,1.94,2.44,0.0
2000-06-27,-0.69,-0.5,0.94,-2.38,1.0
2000-06-28,0.13,-0.84,-0.84999999999999,2.69,0.0
2000-06-29,-1.75,0.34,0.41,-3.19,1.0
2000-06-30,2.81,-0.69,0.31,1.13,0.0
2000-07-03,0.0,-0.25,1.19,0.93,0.0
2000-07-05,-1.5,-0.5,-0.75,-1.68,1.0
2000-07-06,2.44,-0.56,0.25,0.18,1.0
2000-07-07,1.06,0.5,1.56,2.63,0.0
2000-07-10,-2.56,-0.19,-0.37,2.69,0.0
2000-07-11,-0.31999999999998996,-1.81,1.37,-0.19,1.0
2000-07-12,1.19,0.060000000000002,-0.62,1.94,0.0
2000-07-13,-0.37,1.07,1.5,-2.38,0.0
2000-07-14,-1.0,0.31,-0.059999999999995,1.19,0.0
2000-07-17,-0.75,-0.88,1.34,0.62,1.0
2000-07-18,0.31,-0.81,-0.28,-1.06,0.0
2000-07-19,-5.38,1.25,-0.88,-4.56,1.0
2000-07-20,1.69,1.63,0.57,2.44,0.0
2000-07-21,-2.5,-1.19,0.059999999999995,-1.57,0.0
2000-07-24,-1.75,-0.81,1.25,-4.87,0.0
2000-07-25,-1.56,0.87,0.44,1.37,0.0
2000-07-26,-1.19,0.56,0.68,0.0,1.0
2000-07-27,1.56,-0.060000000000002,-1.06,1.94,1.0
2000-07-28,0.31999999999998996,-0.12,-1.87,-3.69,1.0
2000-07-31,0.12,0.68,-0.38,2.5,0.0
2000-08-01,-1.12,0.94,0.75,-1.5,1.0
2000-08-02,0.6800000000000099,0.63,1.13,-2.06,1.0
2000-08-03,0.88,2.37,0.37,0.75,0.0
2000-08-04,-1.13,-0.060000000000002,0.0,-0.62,1.0
2000-08-07,0.88,-1.38,-0.25,0.56,1.0
2000-08-08,4.12,0.32,2.25,-1.19,1.0
2000-08-09,0.13,-0.69,0.0,0.75,0.0
2000-08-10,-1.63,-0.19,-1.31,0.060000000000002,0.0
2000-08-11,-0.18000000000001,0.13,0.19,0.13,0.0
2000-08-14,-0.25,0.31,0.68,-0.63,0.0
2000-08-15,-0.5699999999999901,-0.69,-0.75,-0.37,0.0
2000-08-16,-0.62,-0.62,0.25,1.81,1.0
2000-08-17,0.56,0.56,0.44,2.94,0.0
2000-08-18,-0.56,-1.06,0.19,-1.44,0.0
2000-08-21,-0.38,-0.69,-0.81,0.5,1.0
2000-08-22,0.63,-0.5,-4.75,1.19,0.0
2000-08-23,-0.5,-0.5,-1.88,2.62,1.0
2000-08-24,0.37,0.44,1.0,1.8,0.0
2000-08-25,-0.5,0.25,1.25,0.7,1.0
2000-08-28,0.69,-0.07,-1.75,1.25,0.0
2000-08-29,-0.37,0.38,1.25,1.13,0.0
2000-08-30,-0.94,-0.059999999999995,-0.56,0.31,0.0
2000-08-31,-0.19,0.58,-1.86,1.44,1.0
2000-09-01,0.38,0.039999999999999,1.3,2.5,0.0
2000-09-05,-0.069999999999993,-0.37,0.81,-1.0,0.0
2000-09-06,-0.6800000000000099,1.37,-1.69,-4.0,1.0
2000-09-07,0.62,1.5,-1.37,3.56,0.0
2000-09-08,-0.75,-1.25,0.5,-3.12,0.0
2000-09-11,-0.5,-0.31,-2.5,-0.44,0.0
2000-09-12,-0.69,-1.31,3.14,-0.69,1.0
2000-09-13,0.13,1.37,-1.14,0.25,0.0
2000-09-14,-2.44,-0.62,-0.13,-1.14,0.0
2000-09-15,-1.62,-0.19,-2.0,-1.63,0.0
2000-09-18,-1.19,-0.75,1.38,5.43,1.0
2000-09-19,2.0,-0.13,4.12,-0.72,0.0
2000-09-20,-0.75,-1.12,-4.12,1.11,0.0
2000-09-21,-0.060000000000002,-0.059999999999995,0.75,-4.36,0.0
2000-09-22,-0.94,0.31,0.93,-4.5,0.0
2000-09-25,-2.0,0.12,0.63,1.31,1.0
2000-09-26,1.44,0.13,-0.13,-2.06,0.0
2000-09-27,-2.06,-0.13,-0.18,-2.5,1.0
2000-09-28,0.68,1.25,0.25,4.56,0.0
2000-09-29,-1.0,-0.56,-0.07,-27.75,0.0
2000-10-02,-1.18,1.25,-0.060000000000002,-1.5,0.0
2000-10-03,-2.57,-0.19,1.5,-1.94,0.0
2000-10-04,-1.12,0.57,-0.81,1.31,0.0
2000-10-05,-0.059999999999995,1.37,2.31,-1.56,1.0
2000-10-06,0.18,-0.56,-3.31,0.13,0.0
2000-10-09,-1.37,0.25,-0.69,-0.44,1.0
2000-10-10,0.37,0.44,0.69,-0.88,1.0
2000-10-11,1.19,-1.07,-0.75,-1.25,0.0
2000-10-12,-1.37,-1.31,-0.56,0.38,0.0
2000-10-13,-0.63,0.75,0.12,2.06,0.0
2000-10-16,-3.37,-1.5,0.94,-0.56,1.0
2000-10-17,0.059999999999995,-2.81,-1.44,-1.38,1.0
2000-10-18,1.31,0.060000000000002,-0.25,0.0,1.0
2000-10-19,10.13,-0.56,0.63,-1.18,1.0
2000-10-20,3.31,1.44,-1.25,0.56,0.0
2000-10-23,-3.06,-0.19,-0.75,0.87,0.0
2000-10-24,-0.63,0.0,0.68,-1.5,0.0
2000-10-25,-0.25,-1.38,0.32,-0.37,1.0
2000-10-26,3.19,0.32,1.81,0.0,1.0
2000-10-27,3.25,-0.82,-0.88,0.059999999999999006,1.0
2000-10-30,1.37,0.57,0.63,0.75,0.0
2000-10-31,-0.19,0.93,1.0,0.25,1.0
2000-11-01,0.75,0.82,-0.059999999999995,0.94,1.0
2000-11-02,0.69,0.68,2.56,1.81,0.0
2000-11-03,-2.06,0.75,-1.06,-0.059999999999999006,1.0
2000-11-06,1.25,-0.75,1.31,-0.81,1.0
2000-11-07,1.0,-0.18,0.31,-0.13,0.0
2000-11-08,-1.06,-0.25,1.5,-1.25,1.0
2000-11-09,1.43,-5.75,-0.87,0.13,0.0
2000-11-10,-3.5,0.56,-2.07,-1.13,0.0
2000-11-13,-0.9300000000000099,-1.25,-0.18,0.31,1.0
2000-11-14,2.37,0.5,0.37,0.88,1.0
2000-11-15,1.25,0.87,0.38,-0.38,0.0
2000-11-16,-1.12,-0.93,-0.82,-0.87,1.0
2000-11-17,0.12,-0.69,0.38,-0.5,0.0
2000-11-20,-1.87,-0.31,-1.69,0.44,1.0
2000-11-21,0.56,-0.5,0.0,-0.13,1.0
2000-11-22,0.5,-0.32,0.25,-0.31,1.0
2000-11-24,1.69,0.69,0.25,0.81,1.0
2000-11-27,0.75,0.19,2.5,-0.62,0.0
2000-11-28,-3.69,-0.060000000000002,0.94,-0.66,0.0
2000-11-29,-1.94,-1.07,-1.13,-0.47,0.0
2000-11-30,-7.68,0.13,-0.18,-1.06,0.0
2000-12-01,-0.75,1.06,1.06,0.56,0.0
2000-12-04,-0.19,-0.56,1.31,-0.37,1.0
2000-12-05,3.44,1.25,-0.75,0.31,0.0
2000-12-06,-3.19,0.75,-0.94,-2.69,0.0
2000-12-07,-3.56,-0.81,-1.68,0.0,1.0
2000-12-08,1.31,0.31,0.93,0.75,1.0
2000-12-11,3.62,-0.56,1.44,0.13,1.0
2000-12-12,0.32,-0.07,0.81,0.19,0.0
2000-12-13,-1.13,-0.56,0.25,-0.38,0.0
2000-12-14,-1.75,-0.75,2.94,-0.56,0.0
2000-12-15,-6.31,0.38,-0.37,-0.38,0.0
2000-12-18,-1.38,-0.07,-0.94,0.19,0.0
2000-12-19,-3.0,-0.18,0.87,-0.25,0.0
2000-12-20,-3.31,-2.07,1.57,0.38,1.0
2000-12-21,1.94,0.63,0.12,-0.32,1.0
2000-12-22,3.0,-1.25,1.94,0.94,1.0
2000-12-26,0.44,0.5,2.87,-0.31,0.0
2000-12-27,-0.44,1.37,2.63,0.12,0.0
2000-12-28,-1.88,0.44,0.060000000000002,0.0,0.0
2000-12-29,-1.18,0.19,-0.94,0.07,0.0
2001-01-02,0.0,-1.0,-1.68,0.0,1.0
2001-01-03,4.56,3.12,1.81,1.49,1.0
2001-01-04,0.5,0.88,1.44,0.69,1.0
2001-01-05,0.69,-0.44,-2.5,-0.69,0.0
2001-01-08,-0.19,-1.37,2.75,0.19,1.0
2001-01-09,2.87,0.0,1.81,0.63,1.0
2001-01-10,1.07,0.25,-1.31,-0.63,1.0
2001-01-11,2.12,-0.88,-0.38,1.44,0.0
2001-01-12,-1.5,2.06,-1.31,-0.81,0.0
2001-01-16,-0.94,1.5,-0.75,-0.07,1.0
2001-01-17,0.38,0.32,0.12,-0.31,1.0
2001-01-18,2.56,-0.25,0.25,1.88,1.0
2001-01-19,5.5,-0.44,-3.62,0.81,0.0
2001-01-22,-0.87,-1.56,0.5,-0.25,1.0
2001-01-23,0.43,-1.13,0.19,1.25,1.0
2001-01-24,2.38,0.5,-0.75,0.0,0.0
2001-01-25,-1.13,-0.44,1.81,-0.56,1.0
2001-01-26,2.19,-0.25,-1.19,-0.38,1.0
2001-01-29,0.5,1.01,-0.33,2.13,0.0
2001-01-30,-1.12,0.079999999999998,0.35,0.059999999999999006,0.0
2001-01-31,-2.32,-0.45,2.0,-0.13,1.0
2001-02-01,1.32,1.05,-0.27,-0.5,0.0
2001-02-02,-1.57,-0.75,0.2,-0.5,1.0
2001-02-05,1.13,-0.32,0.34999999999999004,-0.43,1.0
2001-02-06,0.62,1.18,1.55,0.93,1.0
2001-02-07,2.13,-0.61,-0.17,-0.37,0.0
2001-02-08,-2.44,1.13,-1.5,0.0,0.0
2001-02-09,-3.12,-0.18,-0.48,-1.63,0.0
2001-02-12,-0.38,0.56,-0.22000000000001002,0.57,0.0
2001-02-13,-0.56,-1.01,1.66,-0.57,1.0
2001-02-14,0.19,-0.35,-0.94,0.38,1.0
2001-02-15,0.43,1.26,-2.78,0.56,0.0
2001-02-16,-1.5,-0.4,-0.6,-1.06,0.0
2001-02-20,-1.43,-0.86,-4.01,-0.69,1.0
2001-02-21,0.37,0.36,-0.71,0.56,0.0
2001-02-22,-1.06,-0.51,0.95,-0.060000000000002,1.0
2001-02-23,1.56,-0.7,0.95,0.0,1.0
2001-02-26,2.81,1.1,0.17,0.69,0.0
2001-02-27,-0.18,-0.65,-9.57,-0.13,0.0
